old_affiliation:new_affiliation
Joint Institute for Nuclear Research:Joint Institute for Nuclear Research
JINR:Joint Institute for Nuclear Research
LIT JINR:Joint Institute for Nuclear Research
LIT, JINR:Joint Institute for Nuclear Research
JINR LIT:Joint Institute for Nuclear Research
JINR, LIT:Joint Institute for Nuclear Research
FLNR JINR:Joint Institute for Nuclear Research
JINR (Joint Institute For Nuclear Research):Joint Institute for Nuclear Research
Jinr:Joint Institute for Nuclear Research
jinr:Joint Institute for Nuclear Research
Joint Institute for Nuclear Research, Flerov Laboratory of Nuclear Reactions:Joint Institute for Nuclear Research
ЛИТ ОИЯИ:Объединенный Институт Ядерных Исследований
Dubna State Univeristy:Dubna State University
State University "Dubna":Dubna State University
Dubna Univeristy:Dubna State University
Dubna International University:Dubna State University
Dubna International University of Nature, Society and Man. Institute of system analysis and management:Dubna State University
Университет "Дубна":Государственный Университет "Дубна"
Moscow Institute of Physics and Technology:Moscow Institute of Physics and Technology
MIPT:Moscow Institute of Physics and Technology
University of Sofia:University of Sofia
INRNE:Institute for Nuclear Researches and Nuclear Energy
University of Prešov:University of Prešov
University of Prešov, Slovakia:University of Prešov
Financial University under the Government of the Russian Federation:Financial University under the Government of the Russian Federation
Financial University:Financial University under the Government of the Russian Federation
Chuvash State University:Chuvash State University
Chuvash State University, Cheboksary, Russia:Chuvash State University
SINP MSU:Skobeltsyn Institute of Nuclear Physics
Lomonosov Moscow State University:Lomonosov Moscow State University
MSU:Lomonosov Moscow State University
Moscow State University:Lomonosov Moscow State University
RENAM:National Research and Educational Network of Moldova
RENAM, Moldova:National Research and Educational Network of Moldova
GSI:Gesellschaft für Schwerionenforschung
GSI Darmstadt:Gesellschaft für Schwerionenforschung
GSI, Darmstadt:Gesellschaft für Schwerionenforschung
Saint Petersburg State University:Saint Petersburg State University
SPbSU:Saint Petersburg State University
SPbGU:Saint Petersburg State University
SPbGu:Saint Petersburg State University
St.Petersburg State University:Saint Petersburg State University
St. Petersburg State University:Saint Petersburg State University
St Peterburg State Electrotechnical University:Saint Petersburg State University
Saint-Petersburg State University:Saint Petersburg State University
Saint Petersburg Electrotechnical University "LETI", Russia:Saint Petersburg Electrotechnical University "LETI"
Federico Santa Maria Technical University:Federico Santa Maria Technical University
UTFSM:Federico Santa Maria Technical University
The University of Genoa:The University of Genoa
University and INFN Genova (Italy):The University of Genoa
Chinese Academy of Sciences Institute of High Energy Physics:Chinese Academy of Sciences, Institute of High Energy Physics
Institute of High Energy Physics Chinese Academy of Sciences:Chinese Academy of Sciences, Institute of High Energy Physics
CAS:Chinese Academy of Sciences
Institute of High Energy Physics, Chinese Academy of Sciences:Chinese Academy of Sciences, Institute of High Energy Physics
Institute of High Energy Physics,Chinese Academy of Sciences:Chinese Academy of Sciences, Institute of High Energy Physics
Institute of High Energy Physics, Chinese of Academy of Sciences:Chinese Academy of Sciences, Institute of High Energy Physics
Engineering company «NEOTECH MARINE»:Engineering company «NEOTECH MARINE»
Informatics and Control Research Institute of Russian Academy of Sciences:Russian Academy of Sciences, Informatics and Control Research Institute
INR RAS:Russian Academy of Sciences Institute for Nuclear Research
Sukhoi State Technical University of Gomel, Gomel, Belarus:Sukhoi State Technical University of Gomel
Tver State University:Tver State University
Tver cardiology health center:Tver State University
V.M.Bekhterev National Research Medical Center for Psychiatry and Neurology:V.M.Bekhterev National Research Medical Center for Psychiatry and Neurology
Brookhaven National Lab:Brookhaven National Lab
BNL:Brookhaven National Lab
University of Texas at Arlington:University of Texas
NRC KI:National Research Center «Kurchatov Institute»
Oak Ridge National Laboratory:Oak Ridge National Laboratory
CERN:CERN
IHEP:Institute for High Energy Physics
PFU:Peoples’ Friendship University of Russia
PFUR:Peoples’ Friendship University of Russia
RUDN University:Peoples' Friendship University of Russia
Peoples’ Friendship University of Russia:Peoples’ Friendship University of Russia
Peoples' Friendship University of Russia:Peoples’ Friendship University of Russia
Faculty of Science South Valley University, Qena, Egypt:South Valley University
National Research Tomsk Polytechnic University:National Research Tomsk Polytechnic University
Tomsk Polytechnic University:National Research Tomsk Polytechnic University
Samara National Research University:Samara National Research University
